Column1,Column2,Column3
玛丽和马克思,亚当·艾略特 Adam Elliot,445084
模仿游戏,莫滕·泰杜姆 Morten Tyldum,698389
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,1462770
大鱼,蒂姆·波顿 Tim Burton,606249
七武士,黑泽明 Akira Kurosawa,220191
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,691931
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,334982
我是山姆,杰茜·尼尔森 Jessie Nelson,363277
血战钢锯岭,梅尔·吉布森 Mel Gibson,832348
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,619961
你的名字。,新海诚 Makoto Shinkai,1534484
恐怖直播,金秉祐 Byeong-woo Kim,703562
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,479543
电锯惊魂,詹姆斯·温 James Wan,584854
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,163700
三块广告牌,马丁·麦克唐纳 Martin McDonagh,886068
小丑,托德·菲利普斯 Todd Phillips,1092668
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,487786
谍影重重3,保罗·格林格拉斯 Paul Greengrass,451301
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,1084440
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,893339
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,369660
爱在午夜降临前,理查德·林克莱特 Richard Linklater,448335
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,322395
title,director,ratings
无间道2,刘伟强 / 麦兆辉,538023
海街日记,是枝裕和 Hirokazu Koreeda,496568
英雄本色,吴宇森 John Woo,585008
风之谷,宫崎骏 Hayao Miyazaki,380034
疯狂的石头,宁浩 Hao Ning,891162
心迷宫,忻钰坤 Yukun Xin,585476
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,372083
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,253432
纵横四海,吴宇森 John Woo,458818
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,646594
卢旺达饭店,特瑞·乔治 Terry George,355104
无敌破坏王,瑞奇·莫尔 Rich Moore,588535
末路狂花,雷德利·斯科特 Ridley Scott,311809
小偷家族,是枝裕和 Hirokazu Koreeda,870632
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,662818
牯岭街少年杀人事件,杨德昌 Edward Yang,343774
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,947042
岁月神偷,罗启锐 Alex Law,600544
东京教父,今敏 Satoshi Kon,270778
忠犬八公物语,神山征二郎 Seijir? K?yama,210982
魔女宅急便,宫崎骏 Hayao Miyazaki,502036
高山下的花环,谢晋 Jin Xie,134607
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,477267
遗愿清单,罗伯·莱纳 Rob Reiner,511366
大佛普拉斯,黄信尧 Hsin-yao Huang,524028
title,director,ratings
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,787585
东邪西毒,王家卫 Kar Wai Wong,615356
你看起来好像很好吃,藤森雅也 Masaya Fujimori,359961
源代码,邓肯·琼斯 Duncan Jones,894281
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,594338
可可西里,陆川 Chuan Lu,330904
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,660137
芙蓉镇,谢晋 Jin Xie,171378
城市之光,Charles Chaplin,163092
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,662865
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,822720
花束般的恋爱,土井裕泰 Nobuhiro Doi,757787
